blueTeamFirstBlood,blueWin,GoldDifference,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
0,1,-5714,-2815,-5397,-12,2,0,-2,0,-11,-4,3,-12,12
0,0,-1118,210,-768,-5,1,0,0,0,20,-4,1,-25,22
0,0,-2384,37,-4945,-5,-1,0,-2,0,-222,-1,3,-9,12
1,0,2176,-603,3109,-2,-1,1,1,0,5,3,-1,-23,-3
0,1,1720,1591,7431,4,0,1,0,0,4,-4,-2,-12,4
0,0,-4357,-3550,-8553,-12,-2,-1,-3,0,-9,1,6,12,10
0,1,-867,744,-306,6,2,0,0,0,-106,0,0,-72,0
1,1,3729,1870,30,6,1,0,0,0,7,0,3,33,4
1,1,869,345,6062,-4,-1,0,1,0,7,0,0,6,0
0,0,-586,-1124,-5197,-1,-1,1,0,0,6,-3,3,-67,8
1,1,295,-1467,7301,-1,-2,-1,1,0,-5,-2,-6,-18,17
0,0,-5305,-2939,-10425,-4,-2,0,-1,0,-8,-3,4,-110,-9
0,0,-4224,377,-771,-7,-2,0,-1,0,-5,-2,7,5,-21
0,1,4877,5348,7594,6,2,0,-1,0,3,2,0,39,22
1,1,2116,3463,-499,1,0,1,0,0,2,1,-2,11,29
0,0,-7743,-5640,-11490,-19,-2,0,-2,0,-5,2,2,-30,-26
1,0,-3948,-3772,-8293,-9,-2,0,-1,0,-1,-4,1,10,-18
1,0,262,-394,11648,6,1,0,-1,0,20,-2,-1,-5,-27
1,1,4129,3912,9783,4,0,1,1,0,8,-1,1,45,20
1,0,531,421,-3739,-3,-2,0,1,0,6,2,-2,9,5
0,0,-2235,-2392,-10214,-11,-2,0,-1,0,-5,-4,2,-5,12
1,0,-1749,-1229,-8343,-4,2,0,0,0,239,-1,2,6,8
0,0,-2370,-1026,-3414,-9,-2,0,0,0,-4,0,3,28,11
0,0,-830,766,-15072,-9,-1,0,0,0,-71,1,0,46,-6
1,1,9447,5610,23389,17,0,0,-1,0,1,1,-2,66,24
1,1,4737,2565,1290,7,2,0,2,0,-8,0,-4,42,-13
1,1,9227,5747,11697,18,2,1,2,0,-12,-4,-2,63,-13
1,1,2410,1572,-2460,3,-2,0,-1,0,-122,6,-4,58,5
1,1,6768,6977,13180,14,1,1,-1,0,-244,0,0,39,29
1,1,6960,4816,11757,5,-1,0,3,0,-17,1,-7,111,18
1,1,3792,1553,7712,8,2,0,1,0,-13,2,0,4,-8
0,0,-1595,68,2661,5,-2,0,-3,0,-3,-3,7,-10,-16
0,0,-7459,-3021,-5349,-11,-2,0,-3,0,-7,1,6,-46,-17
0,1,4715,2378,5480,7,0,0,1,0,19,1,1,66,-7
1,0,1916,-466,912,2,-2,0,1,0,-36,3,-2,-8,-2
0,0,-1192,-547,776,-5,0,0,-1,0,15,2,6,48,0
0,0,-8182,-4543,-13596,-13,-1,0,-3,0,-8,2,9,-32,-21
0,0,-3435,-3369,-6772,-5,-2,0,0,0,-4,3,1,-43,4
0,0,2735,1018,8953,0,-2,1,1,0,10,1,-5,43,4
1,1,2542,442,-3258,-2,0,0,1,0,-5,-1,2,12,28
0,0,-2580,-2499,-9795,-6,0,0,1,0,-7,0,3,-21,-9
1,0,1418,129,2713,1,-1,1,0,0,-4,3,-3,38,24
0,0,-7170,-3323,-9698,-12,-2,0,-2,0,-8,-3,5,-36,-9
1,1,1494,1845,3176,5,-1,0,0,0,108,-4,6,15,5
0,0,-1284,852,-960,5,2,1,-3,0,-310,1,11,-67,-7
1,0,-5559,-4224,-2880,-14,2,0,-1,0,-5,1,2,28,-13
0,1,1863,1443,-2955,2,2,0,1,0,-66,1,-1,45,37
0,1,-65,-172,979,-2,1,0,0,0,50,-5,2,-39,16
1,1,4597,3188,11236,7,1,0,1,0,5,4,-3,9,-32
1,1,8888,6500,18997,8,2,0,1,0,7,4,-12,97,-4
1,1,-166,694,-8819,-4,-2,0,-1,0,0,-5,-5,91,-1
1,1,-139,883,-1210,2,0,1,0,0,-22,4,3,5,-28
1,1,5582,2284,12044,11,0,0,1,0,-34,6,-4,16,24
1,1,4201,1220,-1916,5,2,0,1,0,2,-5,-9,48,-6
1,1,1003,958,-5271,-1,1,0,-1,0,0,-1,-2,25,46
1,1,4061,3903,8934,8,2,0,1,0,8,1,-5,-29,16
1,1,3261,3296,14556,4,2,-1,0,0,-3,0,-3,91,16
0,0,342,-319,-2283,-1,-2,0,0,0,117,-1,-2,-2,-7
1,1,6526,1019,4742,13,0,0,0,0,3,-1,-2,-27,-7
1,1,6234,3755,7078,7,2,0,2,0,-1,-1,-7,106,0
0,1,7722,5614,4519,7,0,1,0,0,0,-2,-1,62,21
