blueTeamFirstBlood,blueWin,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
0,1,-5397,-12,2,0,-2,0,-11,-4,3,-12,12
0,0,-768,-5,1,0,0,0,20,-4,1,-25,22
0,0,-4945,-5,-1,0,-2,0,-222,-1,3,-9,12
1,0,3109,-2,-1,1,1,0,5,3,-1,-23,-3
0,1,7431,4,0,1,0,0,4,-4,-2,-12,4
0,0,-8553,-12,-2,-1,-3,0,-9,1,6,12,10
0,1,-306,6,2,0,0,0,-106,0,0,-72,0
1,1,30,6,1,0,0,0,7,0,3,33,4
1,1,6062,-4,-1,0,1,0,7,0,0,6,0
0,0,-5197,-1,-1,1,0,0,6,-3,3,-67,8
1,1,7301,-1,-2,-1,1,0,-5,-2,-6,-18,17
0,0,-10425,-4,-2,0,-1,0,-8,-3,4,-110,-9
0,0,-771,-7,-2,0,-1,0,-5,-2,7,5,-21
0,1,7594,6,2,0,-1,0,3,2,0,39,22
1,1,-499,1,0,1,0,0,2,1,-2,11,29
0,0,-11490,-19,-2,0,-2,0,-5,2,2,-30,-26
1,0,-8293,-9,-2,0,-1,0,-1,-4,1,10,-18
1,0,11648,6,1,0,-1,0,20,-2,-1,-5,-27
1,1,9783,4,0,1,1,0,8,-1,1,45,20
1,0,-3739,-3,-2,0,1,0,6,2,-2,9,5
0,0,-10214,-11,-2,0,-1,0,-5,-4,2,-5,12
1,0,-8343,-4,2,0,0,0,239,-1,2,6,8
0,0,-3414,-9,-2,0,0,0,-4,0,3,28,11
0,0,-15072,-9,-1,0,0,0,-71,1,0,46,-6
1,1,23389,17,0,0,-1,0,1,1,-2,66,24
1,1,1290,7,2,0,2,0,-8,0,-4,42,-13
1,1,11697,18,2,1,2,0,-12,-4,-2,63,-13
1,1,-2460,3,-2,0,-1,0,-122,6,-4,58,5
1,1,13180,14,1,1,-1,0,-244,0,0,39,29
1,1,11757,5,-1,0,3,0,-17,1,-7,111,18
1,1,7712,8,2,0,1,0,-13,2,0,4,-8
0,0,2661,5,-2,0,-3,0,-3,-3,7,-10,-16
0,0,-5349,-11,-2,0,-3,0,-7,1,6,-46,-17
0,1,5480,7,0,0,1,0,19,1,1,66,-7
1,0,912,2,-2,0,1,0,-36,3,-2,-8,-2
0,0,776,-5,0,0,-1,0,15,2,6,48,0
0,0,-13596,-13,-1,0,-3,0,-8,2,9,-32,-21
0,0,-6772,-5,-2,0,0,0,-4,3,1,-43,4
0,0,8953,0,-2,1,1,0,10,1,-5,43,4
1,1,-3258,-2,0,0,1,0,-5,-1,2,12,28
0,0,-9795,-6,0,0,1,0,-7,0,3,-21,-9
1,0,2713,1,-1,1,0,0,-4,3,-3,38,24
0,0,-9698,-12,-2,0,-2,0,-8,-3,5,-36,-9
1,1,3176,5,-1,0,0,0,108,-4,6,15,5
0,0,-960,5,2,1,-3,0,-310,1,11,-67,-7
1,0,-2880,-14,2,0,-1,0,-5,1,2,28,-13
0,1,-2955,2,2,0,1,0,-66,1,-1,45,37
0,1,979,-2,1,0,0,0,50,-5,2,-39,16
1,1,11236,7,1,0,1,0,5,4,-3,9,-32
1,1,18997,8,2,0,1,0,7,4,-12,97,-4
1,1,-8819,-4,-2,0,-1,0,0,-5,-5,91,-1
1,1,-1210,2,0,1,0,0,-22,4,3,5,-28
1,1,12044,11,0,0,1,0,-34,6,-4,16,24
1,1,-1916,5,2,0,1,0,2,-5,-9,48,-6
1,1,-5271,-1,1,0,-1,0,0,-1,-2,25,46
1,1,8934,8,2,0,1,0,8,1,-5,-29,16
1,1,14556,4,2,-1,0,0,-3,0,-3,91,16
0,0,-2283,-1,-2,0,0,0,117,-1,-2,-2,-7
1,1,4742,13,0,0,0,0,3,-1,-2,-27,-7
1,1,7078,7,2,0,2,0,-1,-1,-7,106,0
0,1,4519,7,0,1,0,0,0,-2,-1,62,21
0,1,444,11,2,0,1,0,5,2,-5,54,39
1,1,13107,12,2,0,2,0,-3,4,-6,71,13
1,0,9701,5,0,0,-1,0,-2,2,-2,33,22
0,1,7595,8,-1,1,0,0,-3,1,-2,-13,-4
0,0,1643,-1,-2,0,0,0,-6,-5,3,34,-8
1,1,7964,9,2,1,0,0,-28,-1,0,-9,16
1,1,4655,9,1,0,0,0,24,2,-4,-17,28
0,0,2379,-2,2,0,0,0,9,-1,2,-13,13
0,0,10056,-5,-2,0,0,0,200,4,0,-8,-1
0,1,9694,4,1,0,1,0,15,3,-4,11,-4
1,0,7863,9,1,0,-2,0,-3,-5,2,17,3
1,1,-11679,-4,0,0,0,0,3,2,3,-27,10
1,1,9789,5,-1,0,1,0,-9,3,-4,41,35
1,0,-5612,-4,0,0,-1,0,109,-5,-2,-42,14
1,1,8829,-3,-1,0,0,0,4,-2,-5,73,5
1,1,4034,11,0,0,-2,0,17,4,-2,-27,-18
1,1,4747,2,2,0,1,0,3,2,-1,21,20
0,1,824,1,-2,1,0,0,-10,1,0,-3,-32
0,0,-4532,-2,2,-1,-1,0,3,0,5,-31,8
0,0,-2858,-7,1,0,-1,0,15,3,3,-36,21
0,0,-4316,4,1,0,0,0,5,-1,-4,-52,0
0,0,-4617,-7,-2,0,-3,0,-4,-4,5,-36,-21
0,1,5942,-1,-1,0,0,0,16,-2,-1,37,-12
1,0,3302,3,1,0,-1,0,-12,-4,4,1,15
0,0,-9931,-6,-2,0,-3,0,-3,0,9,-47,-8
1,0,727,-1,-2,-1,0,0,-54,-5,0,-11,-9
1,0,4157,12,-2,0,0,0,2,0,-2,-58,-42
1,1,-865,0,1,0,-2,0,8,4,3,-19,30
0,0,1090,-1,1,0,-1,0,-14,-1,1,-5,1
0,0,-3950,0,0,0,-4,0,1,0,5,-38,-12
0,0,-7898,-4,-2,0,0,0,4,-3,2,-7,-21
1,1,-4468,1,1,0,1,0,4,5,-8,14,0
1,0,505,0,1,0,-1,0,15,0,8,-13,-6
1,0,-8548,-7,-1,0,0,0,4,2,7,-58,16
1,1,9386,10,1,0,2,0,15,-3,-13,58,11
1,0,-4283,-3,0,0,-1,0,-6,1,3,2,-7
1,1,2332,4,-1,0,0,0,0,2,2,-4,30
0,1,-6274,-6,-2,1,0,0,7,-1,4,-31,1
0,1,6673,1,2,0,-2,0,95,3,4,24,-19
0,0,-8534,-6,-2,0,-4,0,7,0,7,-98,0
1,1,22662,23,0,0,3,0,-14,1,-8,44,41
0,0,-2528,-7,-2,0,-2,0,-45,2,2,-84,-10
1,0,-10154,-12,-1,0,-1,0,-23,1,-3,24,2
1,0,9167,11,2,1,-1,0,9,2,5,7,-8
1,0,-6561,-3,-1,0,-1,0,-5,2,6,24,-4
1,1,-10214,-7,0,0,-2,0,2,1,4,-11,3
1,1,3385,4,-2,0,2,0,-1,1,-2,70,11
0,1,-1209,-2,-1,1,1,0,-22,1,-7,67,-24
1,1,11788,6,-2,0,1,0,6,3,4,116,-42
0,1,8105,14,-1,1,-3,0,-4,0,-1,18,-5
0,1,-818,-2,1,0,-1,0,11,3,0,-59,23
0,0,-9706,-5,-2,-1,-2,0,12,-2,4,-72,-23
0,1,-1294,-5,-2,0,1,0,-9,0,1,4,9
1,0,-4866,-2,-2,0,0,0,1,-1,-4,-4,8
1,0,8434,7,0,0,1,0,272,2,-1,-6,25
