blueTeamFirstBlood,blueWin,DamageDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
0,1,-5397,2,0,-2,0,-11,-4,3,-12,12
0,0,-768,1,0,0,0,20,-4,1,-25,22
0,0,-4945,-1,0,-2,0,-222,-1,3,-9,12
1,0,3109,-1,1,1,0,5,3,-1,-23,-3
0,1,7431,0,1,0,0,4,-4,-2,-12,4
0,0,-8553,-2,-1,-3,0,-9,1,6,12,10
0,1,-306,2,0,0,0,-106,0,0,-72,0
1,1,30,1,0,0,0,7,0,3,33,4
1,1,6062,-1,0,1,0,7,0,0,6,0
0,0,-5197,-1,1,0,0,6,-3,3,-67,8
1,1,7301,-2,-1,1,0,-5,-2,-6,-18,17
0,0,-10425,-2,0,-1,0,-8,-3,4,-110,-9
0,0,-771,-2,0,-1,0,-5,-2,7,5,-21
0,1,7594,2,0,-1,0,3,2,0,39,22
1,1,-499,0,1,0,0,2,1,-2,11,29
0,0,-11490,-2,0,-2,0,-5,2,2,-30,-26
1,0,-8293,-2,0,-1,0,-1,-4,1,10,-18
1,0,11648,1,0,-1,0,20,-2,-1,-5,-27
1,1,9783,0,1,1,0,8,-1,1,45,20
1,0,-3739,-2,0,1,0,6,2,-2,9,5
0,0,-10214,-2,0,-1,0,-5,-4,2,-5,12
1,0,-8343,2,0,0,0,239,-1,2,6,8
0,0,-3414,-2,0,0,0,-4,0,3,28,11
0,0,-15072,-1,0,0,0,-71,1,0,46,-6
1,1,23389,0,0,-1,0,1,1,-2,66,24
1,1,1290,2,0,2,0,-8,0,-4,42,-13
1,1,11697,2,1,2,0,-12,-4,-2,63,-13
1,1,-2460,-2,0,-1,0,-122,6,-4,58,5
1,1,13180,1,1,-1,0,-244,0,0,39,29
1,1,11757,-1,0,3,0,-17,1,-7,111,18
1,1,7712,2,0,1,0,-13,2,0,4,-8
0,0,2661,-2,0,-3,0,-3,-3,7,-10,-16
0,0,-5349,-2,0,-3,0,-7,1,6,-46,-17
0,1,5480,0,0,1,0,19,1,1,66,-7
1,0,912,-2,0,1,0,-36,3,-2,-8,-2
0,0,776,0,0,-1,0,15,2,6,48,0
0,0,-13596,-1,0,-3,0,-8,2,9,-32,-21
0,0,-6772,-2,0,0,0,-4,3,1,-43,4
0,0,8953,-2,1,1,0,10,1,-5,43,4
1,1,-3258,0,0,1,0,-5,-1,2,12,28
0,0,-9795,0,0,1,0,-7,0,3,-21,-9
1,0,2713,-1,1,0,0,-4,3,-3,38,24
0,0,-9698,-2,0,-2,0,-8,-3,5,-36,-9
1,1,3176,-1,0,0,0,108,-4,6,15,5
0,0,-960,2,1,-3,0,-310,1,11,-67,-7
1,0,-2880,2,0,-1,0,-5,1,2,28,-13
0,1,-2955,2,0,1,0,-66,1,-1,45,37
0,1,979,1,0,0,0,50,-5,2,-39,16
1,1,11236,1,0,1,0,5,4,-3,9,-32
1,1,18997,2,0,1,0,7,4,-12,97,-4
1,1,-8819,-2,0,-1,0,0,-5,-5,91,-1
1,1,-1210,0,1,0,0,-22,4,3,5,-28
1,1,12044,0,0,1,0,-34,6,-4,16,24
1,1,-1916,2,0,1,0,2,-5,-9,48,-6
1,1,-5271,1,0,-1,0,0,-1,-2,25,46
1,1,8934,2,0,1,0,8,1,-5,-29,16
1,1,14556,2,-1,0,0,-3,0,-3,91,16
0,0,-2283,-2,0,0,0,117,-1,-2,-2,-7
1,1,4742,0,0,0,0,3,-1,-2,-27,-7
1,1,7078,2,0,2,0,-1,-1,-7,106,0
0,1,4519,0,1,0,0,0,-2,-1,62,21
0,1,444,2,0,1,0,5,2,-5,54,39
1,1,13107,2,0,2,0,-3,4,-6,71,13
1,0,9701,0,0,-1,0,-2,2,-2,33,22
0,1,7595,-1,1,0,0,-3,1,-2,-13,-4
0,0,1643,-2,0,0,0,-6,-5,3,34,-8
1,1,7964,2,1,0,0,-28,-1,0,-9,16
1,1,4655,1,0,0,0,24,2,-4,-17,28
0,0,2379,2,0,0,0,9,-1,2,-13,13
0,0,10056,-2,0,0,0,200,4,0,-8,-1
0,1,9694,1,0,1,0,15,3,-4,11,-4
1,0,7863,1,0,-2,0,-3,-5,2,17,3
1,1,-11679,0,0,0,0,3,2,3,-27,10
1,1,9789,-1,0,1,0,-9,3,-4,41,35
1,0,-5612,0,0,-1,0,109,-5,-2,-42,14
1,1,8829,-1,0,0,0,4,-2,-5,73,5
