blueTeamFirstBlood,blueWin,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
0,1,-2815,-5397,-12,2,0,-2,0,-11,-4,3,-12,12
0,0,210,-768,-5,1,0,0,0,20,-4,1,-25,22
0,0,37,-4945,-5,-1,0,-2,0,-222,-1,3,-9,12
1,0,-603,3109,-2,-1,1,1,0,5,3,-1,-23,-3
0,1,1591,7431,4,0,1,0,0,4,-4,-2,-12,4
0,0,-3550,-8553,-12,-2,-1,-3,0,-9,1,6,12,10
0,1,744,-306,6,2,0,0,0,-106,0,0,-72,0
1,1,1870,30,6,1,0,0,0,7,0,3,33,4
1,1,345,6062,-4,-1,0,1,0,7,0,0,6,0
0,0,-1124,-5197,-1,-1,1,0,0,6,-3,3,-67,8
1,1,-1467,7301,-1,-2,-1,1,0,-5,-2,-6,-18,17
0,0,-2939,-10425,-4,-2,0,-1,0,-8,-3,4,-110,-9
0,0,377,-771,-7,-2,0,-1,0,-5,-2,7,5,-21
0,1,5348,7594,6,2,0,-1,0,3,2,0,39,22
1,1,3463,-499,1,0,1,0,0,2,1,-2,11,29
0,0,-5640,-11490,-19,-2,0,-2,0,-5,2,2,-30,-26
1,0,-3772,-8293,-9,-2,0,-1,0,-1,-4,1,10,-18
1,0,-394,11648,6,1,0,-1,0,20,-2,-1,-5,-27
1,1,3912,9783,4,0,1,1,0,8,-1,1,45,20
1,0,421,-3739,-3,-2,0,1,0,6,2,-2,9,5
0,0,-2392,-10214,-11,-2,0,-1,0,-5,-4,2,-5,12
1,0,-1229,-8343,-4,2,0,0,0,239,-1,2,6,8
0,0,-1026,-3414,-9,-2,0,0,0,-4,0,3,28,11
0,0,766,-15072,-9,-1,0,0,0,-71,1,0,46,-6
1,1,5610,23389,17,0,0,-1,0,1,1,-2,66,24
1,1,2565,1290,7,2,0,2,0,-8,0,-4,42,-13
1,1,5747,11697,18,2,1,2,0,-12,-4,-2,63,-13
1,1,1572,-2460,3,-2,0,-1,0,-122,6,-4,58,5
1,1,6977,13180,14,1,1,-1,0,-244,0,0,39,29
1,1,4816,11757,5,-1,0,3,0,-17,1,-7,111,18
1,1,1553,7712,8,2,0,1,0,-13,2,0,4,-8
0,0,68,2661,5,-2,0,-3,0,-3,-3,7,-10,-16
0,0,-3021,-5349,-11,-2,0,-3,0,-7,1,6,-46,-17
0,1,2378,5480,7,0,0,1,0,19,1,1,66,-7
1,0,-466,912,2,-2,0,1,0,-36,3,-2,-8,-2
0,0,-547,776,-5,0,0,-1,0,15,2,6,48,0
0,0,-4543,-13596,-13,-1,0,-3,0,-8,2,9,-32,-21
0,0,-3369,-6772,-5,-2,0,0,0,-4,3,1,-43,4
0,0,1018,8953,0,-2,1,1,0,10,1,-5,43,4
1,1,442,-3258,-2,0,0,1,0,-5,-1,2,12,28
0,0,-2499,-9795,-6,0,0,1,0,-7,0,3,-21,-9
1,0,129,2713,1,-1,1,0,0,-4,3,-3,38,24
0,0,-3323,-9698,-12,-2,0,-2,0,-8,-3,5,-36,-9
1,1,1845,3176,5,-1,0,0,0,108,-4,6,15,5
0,0,852,-960,5,2,1,-3,0,-310,1,11,-67,-7
1,0,-4224,-2880,-14,2,0,-1,0,-5,1,2,28,-13
0,1,1443,-2955,2,2,0,1,0,-66,1,-1,45,37
0,1,-172,979,-2,1,0,0,0,50,-5,2,-39,16
1,1,3188,11236,7,1,0,1,0,5,4,-3,9,-32
1,1,6500,18997,8,2,0,1,0,7,4,-12,97,-4
1,1,694,-8819,-4,-2,0,-1,0,0,-5,-5,91,-1
1,1,883,-1210,2,0,1,0,0,-22,4,3,5,-28
1,1,2284,12044,11,0,0,1,0,-34,6,-4,16,24
1,1,1220,-1916,5,2,0,1,0,2,-5,-9,48,-6
1,1,958,-5271,-1,1,0,-1,0,0,-1,-2,25,46
1,1,3903,8934,8,2,0,1,0,8,1,-5,-29,16
1,1,3296,14556,4,2,-1,0,0,-3,0,-3,91,16
0,0,-319,-2283,-1,-2,0,0,0,117,-1,-2,-2,-7
1,1,1019,4742,13,0,0,0,0,3,-1,-2,-27,-7
1,1,3755,7078,7,2,0,2,0,-1,-1,-7,106,0
0,1,5614,4519,7,0,1,0,0,0,-2,-1,62,21
0,1,5399,444,11,2,0,1,0,5,2,-5,54,39
1,1,5403,13107,12,2,0,2,0,-3,4,-6,71,13
1,0,656,9701,5,0,0,-1,0,-2,2,-2,33,22
0,1,2526,7595,8,-1,1,0,0,-3,1,-2,-13,-4
0,0,-10,1643,-1,-2,0,0,0,-6,-5,3,34,-8
1,1,1829,7964,9,2,1,0,0,-28,-1,0,-9,16
1,1,6421,4655,9,1,0,0,0,24,2,-4,-17,28
0,0,-11,2379,-2,2,0,0,0,9,-1,2,-13,13
0,0,-1362,10056,-5,-2,0,0,0,200,4,0,-8,-1
0,1,2045,9694,4,1,0,1,0,15,3,-4,11,-4
1,0,2657,7863,9,1,0,-2,0,-3,-5,2,17,3
1,1,-1364,-11679,-4,0,0,0,0,3,2,3,-27,10
1,1,3511,9789,5,-1,0,1,0,-9,3,-4,41,35
1,0,-439,-5612,-4,0,0,-1,0,109,-5,-2,-42,14
1,1,-622,8829,-3,-1,0,0,0,4,-2,-5,73,5
1,1,1967,4034,11,0,0,-2,0,17,4,-2,-27,-18
1,1,3125,4747,2,2,0,1,0,3,2,-1,21,20
0,1,1328,824,1,-2,1,0,0,-10,1,0,-3,-32
0,0,-2563,-4532,-2,2,-1,-1,0,3,0,5,-31,8
0,0,-2493,-2858,-7,1,0,-1,0,15,3,3,-36,21
0,0,280,-4316,4,1,0,0,0,5,-1,-4,-52,0
0,0,-2236,-4617,-7,-2,0,-3,0,-4,-4,5,-36,-21
0,1,466,5942,-1,-1,0,0,0,16,-2,-1,37,-12
1,0,1895,3302,3,1,0,-1,0,-12,-4,4,1,15
0,0,-6285,-9931,-6,-2,0,-3,0,-3,0,9,-47,-8
1,0,-472,727,-1,-2,-1,0,0,-54,-5,0,-11,-9
1,0,578,4157,12,-2,0,0,0,2,0,-2,-58,-42
1,1,-895,-865,0,1,0,-2,0,8,4,3,-19,30
0,0,-338,1090,-1,1,0,-1,0,-14,-1,1,-5,1
0,0,-493,-3950,0,0,0,-4,0,1,0,5,-38,-12
0,0,-2343,-7898,-4,-2,0,0,0,4,-3,2,-7,-21
1,1,2050,-4468,1,1,0,1,0,4,5,-8,14,0
1,0,-1172,505,0,1,0,-1,0,15,0,8,-13,-6
1,0,-3633,-8548,-7,-1,0,0,0,4,2,7,-58,16
1,1,5175,9386,10,1,0,2,0,15,-3,-13,58,11
1,0,-1702,-4283,-3,0,0,-1,0,-6,1,3,2,-7
1,1,260,2332,4,-1,0,0,0,0,2,2,-4,30
0,1,52,-6274,-6,-2,1,0,0,7,-1,4,-31,1
0,1,1312,6673,1,2,0,-2,0,95,3,4,24,-19
0,0,-5232,-8534,-6,-2,0,-4,0,7,0,7,-98,0
1,1,6239,22662,23,0,0,3,0,-14,1,-8,44,41
0,0,-3956,-2528,-7,-2,0,-2,0,-45,2,2,-84,-10
1,0,-1027,-10154,-12,-1,0,-1,0,-23,1,-3,24,2
1,0,1814,9167,11,2,1,-1,0,9,2,5,7,-8
1,0,-977,-6561,-3,-1,0,-1,0,-5,2,6,24,-4
1,1,-1026,-10214,-7,0,0,-2,0,2,1,4,-11,3
1,1,2608,3385,4,-2,0,2,0,-1,1,-2,70,11
0,1,2306,-1209,-2,-1,1,1,0,-22,1,-7,67,-24
1,1,2515,11788,6,-2,0,1,0,6,3,4,116,-42
0,1,4893,8105,14,-1,1,-3,0,-4,0,-1,18,-5
0,1,-1275,-818,-2,1,0,-1,0,11,3,0,-59,23
0,0,-4767,-9706,-5,-2,-1,-2,0,12,-2,4,-72,-23
0,1,863,-1294,-5,-2,0,1,0,-9,0,1,4,9
1,0,393,-4866,-2,-2,0,0,0,1,-1,-4,-4,8
1,0,1108,8434,7,0,0,1,0,272,2,-1,-6,25
1,0,-3775,5484,3,0,1,1,0,103,1,-8,-19,-44
0,1,4518,6825,3,0,0,1,0,14,2,-2,57,28
0,1,-682,2793,-4,0,0,-2,0,-7,-1,0,11,-1
0,0,-1738,-9095,-7,0,0,-1,0,113,1,9,-38,-1
0,0,2794,2853,2,-2,1,1,0,1,3,0,58,-7
1,1,348,5816,0,1,0,2,0,-4,-3,-2,40,19
0,1,857,-7293,-7,0,0,0,0,23,1,-4,-15,17
0,1,1180,7354,4,-1,0,0,0,15,-3,0,11,7
1,1,448,1942,-1,0,0,0,0,-1,1,-4,29,1
0,0,-5940,-12484,-11,-2,0,-2,0,-2,-4,7,-76,-25
1,0,1693,337,0,-2,0,1,0,-25,-3,4,40,4
0,0,-2342,1536,-6,-2,0,-1,0,-15,0,4,-35,14
1,0,-3011,-3232,-6,0,0,-1,0,2,0,5,5,-25
0,1,1500,1392,5,-2,-1,-1,0,-74,-3,0,-33,14
1,1,205,-2487,-6,0,0,-1,0,-21,-1,2,-34,6
1,0,2150,2331,5,1,0,1,0,6,-2,1,-2,16
1,1,-984,1336,0,-2,0,0,0,-1,1,0,-31,-27
1,0,-5263,-11948,-11,-2,0,-1,0,2,-4,4,-23,-44
0,0,1722,1357,3,-2,0,2,0,31,0,-8,51,-6
0,1,802,-6565,-2,0,0,0,0,-2,0,4,7,7
0,0,-2744,-14118,-7,-2,0,-2,0,-4,2,4,-49,-20
0,1,1509,2907,-1,2,0,-1,0,10,0,8,-8,19
1,1,1696,1352,10,2,0,-1,0,0,1,4,-42,-4
0,1,3752,19259,15,0,0,0,0,1,0,-4,39,8
1,1,4521,8374,12,-2,0,1,0,-102,3,-11,43,8
0,1,4186,3127,10,0,0,-1,0,-36,4,-7,27,24
1,0,606,-4409,-2,-2,-1,0,0,-1,-2,6,19,12
1,1,-1423,-9514,-6,-1,0,-2,0,-18,-1,0,-6,4
1,1,7316,17384,19,-1,0,-3,0,7,0,-4,67,16
1,1,2184,14496,10,2,1,-1,0,-9,2,-4,-15,-12
1,1,-855,-385,0,-2,-1,-1,0,18,2,1,0,-9
0,1,529,-1057,3,-1,0,-1,0,1,4,0,-30,12
1,0,-2249,290,-3,-2,0,-2,0,-70,-7,1,-10,-15
0,0,-2506,-14412,-7,-2,0,-1,0,-181,-2,6,-57,10
1,1,173,4756,-1,-2,0,-1,0,9,-1,-3,54,-12
1,1,1028,4775,1,-1,0,-1,0,-14,-2,4,13,4
1,0,436,-7379,-1,0,0,-1,0,-1,0,-2,-5,-15
1,1,1271,4388,11,2,-1,0,0,18,1,-2,-65,-4
1,0,-1454,-4500,-5,-2,0,-1,0,1,1,6,-15,-1
0,0,-157,-2001,-3,-2,0,-1,0,63,2,6,54,-25
1,1,-394,2856,5,1,-1,0,0,-118,-6,1,-60,8
1,1,1321,10848,7,1,0,1,0,26,0,-1,-22,6
0,1,5207,7594,15,0,1,0,0,-8,1,-1,25,42
0,0,-3437,-4100,-2,1,0,-1,0,0,4,3,-14,-24
0,0,-2807,-18063,-10,-1,0,-1,0,25,-2,7,-24,-9
0,0,-4669,-3494,-18,-1,-1,-1,0,-19,-4,0,-21,28
1,0,27,7819,6,-1,0,0,0,58,2,-1,-44,-6
1,1,741,3844,7,-1,0,-2,0,-43,0,3,-67,4
1,0,717,5193,-1,0,0,-1,0,29,8,1,30,8
1,1,4681,10952,9,0,1,1,0,2,-1,1,32,22
0,0,1204,592,1,0,-1,-1,0,-9,-5,9,-44,-4
1,1,-2544,-2612,1,2,0,-1,0,-4,3,4,-17,-19
0,0,-2346,-1127,-6,1,0,-3,0,6,2,4,-23,8
0,0,3151,-889,-1,2,0,-1,0,-14,-5,4,27,8
0,0,-949,10751,-4,-2,-1,-1,0,-4,0,5,27,11
1,1,617,4641,4,0,0,0,0,13,1,2,28,-41
0,1,2658,7247,5,0,0,1,0,132,-3,0,64,14
0,1,-872,-7386,-1,-1,0,-2,0,-8,2,3,-14,-21
1,1,3545,8757,11,2,0,1,0,-6,-1,3,47,20
0,1,-1319,127,0,0,-1,0,0,-2,4,-6,7,12
0,0,-4943,-4296,-1,0,0,0,0,-10,-4,1,-20,-10
1,0,-3971,-6746,-13,-1,-1,-1,0,0,-1,5,-66,12
0,0,-5422,-17570,-13,-2,0,-3,0,54,1,6,-65,0
0,0,1571,11047,6,0,0,-1,0,7,8,1,30,28
0,0,-1926,-9144,-8,-1,-1,-1,0,-5,-2,7,-45,19
1,1,4850,9528,3,2,0,-1,0,0,0,-10,82,14
0,1,-2677,-7099,-3,0,0,-1,0,-6,-4,1,-37,-25
1,1,1253,2525,6,2,0,2,0,-5,1,-8,50,-24
0,1,1734,2311,-1,-2,0,-1,0,-13,-7,1,-35,-8
1,1,1215,11526,11,1,0,-1,0,17,2,1,21,-1
0,1,-4411,1898,-9,-1,0,1,0,-3,-2,4,20,-19
1,1,5144,10543,5,2,0,2,0,227,-1,-14,84,7
0,0,-1944,-12127,0,1,0,0,0,1,-1,6,-60,-17
0,0,-6497,-6224,-12,-1,-1,-2,0,5,3,7,-109,-9
0,0,867,1022,1,0,0,0,0,24,4,-5,21,12
1,1,3956,5560,11,1,0,0,0,-95,3,0,42,21
1,0,-200,-3977,1,-1,-1,0,0,13,2,4,-16,20
0,0,-6444,-14003,-9,-1,0,-3,0,2,-4,9,-108,-65
1,0,-5010,-10053,-11,-2,0,-2,0,88,-3,-1,-16,-19
0,0,-2508,-10118,-10,-1,1,-2,0,-5,0,8,-38,1
1,0,0,-2375,1,1,0,2,0,12,3,-6,-8,15
1,0,-13,-1380,0,1,0,0,0,-48,6,1,-10,12
1,0,-3600,137,-16,1,-1,-2,0,12,-1,4,-37,11
1,1,-944,4390,-5,2,0,2,0,-8,-5,-8,-6,28
0,0,-1777,-9640,-5,-2,0,-2,0,-3,0,3,-50,4
1,0,-314,-106,3,-1,0,-1,0,-4,3,3,-41,-8
1,1,-1023,6758,2,2,0,0,0,-7,4,6,-9,6
0,1,-3009,-8769,-5,0,0,-3,0,-16,-1,10,-17,-10
0,0,-2144,-9088,-7,1,0,-2,0,-1,1,0,3,-70
0,0,-2242,-90,-6,-2,0,-1,0,-4,1,-1,-22,16
0,0,-7867,-15863,-19,-1,0,-2,0,-4,0,6,-43,-27
1,1,-2778,-5511,-4,0,0,-1,0,-5,0,0,8,-28
0,0,-3403,500,0,1,0,-2,0,-1,0,0,-57,7
0,0,-2229,-8889,-8,-2,0,-2,0,9,4,4,-11,-30
0,0,-4927,-14370,-8,-1,0,-2,0,-2,-1,6,-67,-28
0,0,-393,535,-1,-1,1,0,0,-7,0,6,-32,-8
0,1,-2211,-3906,-8,-2,1,-2,0,10,-2,6,-68,14
1,1,2559,11682,6,2,0,-1,0,-69,-1,4,12,19
1,0,220,5326,2,1,0,2,0,-192,3,0,42,-8
1,1,7547,9693,9,0,0,1,0,3,3,-8,104,31
1,0,-4044,-3113,-7,-1,0,0,0,8,1,5,-48,-9
1,0,-2720,-5753,-6,-1,0,-3,0,5,0,9,-35,-38
1,1,1864,550,1,-1,0,0,0,1,6,1,3,12
1,1,1735,2739,4,2,1,2,0,-121,3,-7,70,11
0,0,-3168,-11007,-14,-1,-1,-2,0,-1,-1,7,-62,5
0,0,-3273,-3982,-5,0,0,-2,0,-5,-1,5,-90,-30
0,0,-4447,-5365,-3,0,-1,-1,0,5,5,4,-31,-40
0,0,-3842,-11367,-14,-2,-1,0,0,-15,-5,3,36,-11
1,1,3365,-712,7,1,0,1,0,-9,5,-7,12,17
0,0,-1507,-3459,-10,0,-1,-2,0,-2,2,-1,0,4
1,1,2103,11311,8,-1,0,-1,0,8,3,3,-33,-8
1,1,3806,5382,6,0,0,3,0,61,7,0,15,39
1,0,-670,-4161,3,-2,1,-1,0,-8,0,-2,-22,-17
1,0,-1446,-1160,0,-2,0,0,0,8,0,-7,-41,38
1,1,3343,12577,11,1,0,1,0,15,0,2,43,-4
1,1,-1530,6910,-6,-1,1,-2,0,-3,1,2,15,8
1,0,1733,-1200,3,2,0,0,0,-5,-3,-1,-21,-3
1,0,-793,-12788,-7,-2,0,-1,0,-8,-2,6,-13,-4
1,1,3153,1577,5,2,0,1,0,7,1,0,-14,4
1,1,3924,15626,11,0,0,2,0,-8,0,-10,54,3
1,0,-1734,2493,-4,2,0,-1,0,-12,-1,0,4,29
0,1,225,-3534,6,-1,0,0,0,-10,-1,5,4,-47
0,0,-2310,-3775,-7,0,-1,-1,0,-5,3,4,-21,9
1,1,-611,653,1,-2,0,0,0,8,3,1,11,-23
0,0,-5833,-23238,-15,-2,0,-1,0,-3,-2,7,-55,1
1,0,-382,-5377,2,0,0,0,0,-24,1,4,-59,31
0,0,660,5819,6,2,0,1,0,-433,2,0,-4,6
1,1,5590,8784,12,2,0,2,0,227,7,-5,51,2
0,1,48,780,0,1,-1,-1,0,-291,-3,2,-49,-2
0,1,124,-4491,-1,2,0,-1,0,216,1,2,-1,-16
1,1,718,-3378,9,1,0,1,0,299,2,-8,-7,13
0,1,-924,807,-3,2,0,-3,0,247,-4,7,19,-6
1,1,1260,-11668,1,-1,0,-3,0,166,2,7,-52,7
1,1,3100,1080,7,0,0,0,0,173,1,-4,16,21
0,1,-897,-3929,1,2,0,-1,0,284,5,-1,4,-18
1,0,-4581,-10977,-6,-1,0,-3,0,134,-3,4,-110,-13
1,1,8688,12812,13,1,0,1,0,0,-2,-4,118,44
1,0,-2552,-8594,-6,-2,0,-1,0,240,5,-1,-47,21
1,1,3115,11942,11,2,0,0,0,196,2,1,24,25
0,0,630,-3950,-1,-2,1,-2,0,231,-1,8,-54,1
0,0,-3156,-7056,-3,-2,-1,-1,0,-228,0,4,-53,-13
1,1,3990,1470,7,1,1,1,0,216,6,-8,61,32
0,0,-40,-5554,-4,-2,1,1,0,236,-1,-1,32,20
