blueTeamFirstBlood,blueWin,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
0,1,2,0,-2,0,-11,-4,3,-12,12
0,0,1,0,0,0,20,-4,1,-25,22
0,0,-1,0,-2,0,-222,-1,3,-9,12
1,0,-1,1,1,0,5,3,-1,-23,-3
0,1,0,1,0,0,4,-4,-2,-12,4
0,0,-2,-1,-3,0,-9,1,6,12,10
0,1,2,0,0,0,-106,0,0,-72,0
1,1,1,0,0,0,7,0,3,33,4
1,1,-1,0,1,0,7,0,0,6,0
0,0,-1,1,0,0,6,-3,3,-67,8
1,1,-2,-1,1,0,-5,-2,-6,-18,17
0,0,-2,0,-1,0,-8,-3,4,-110,-9
0,0,-2,0,-1,0,-5,-2,7,5,-21
0,1,2,0,-1,0,3,2,0,39,22
1,1,0,1,0,0,2,1,-2,11,29
0,0,-2,0,-2,0,-5,2,2,-30,-26
1,0,-2,0,-1,0,-1,-4,1,10,-18
1,0,1,0,-1,0,20,-2,-1,-5,-27
1,1,0,1,1,0,8,-1,1,45,20
1,0,-2,0,1,0,6,2,-2,9,5
0,0,-2,0,-1,0,-5,-4,2,-5,12
1,0,2,0,0,0,239,-1,2,6,8
0,0,-2,0,0,0,-4,0,3,28,11
0,0,-1,0,0,0,-71,1,0,46,-6
1,1,0,0,-1,0,1,1,-2,66,24
1,1,2,0,2,0,-8,0,-4,42,-13
1,1,2,1,2,0,-12,-4,-2,63,-13
1,1,-2,0,-1,0,-122,6,-4,58,5
1,1,1,1,-1,0,-244,0,0,39,29
1,1,-1,0,3,0,-17,1,-7,111,18
1,1,2,0,1,0,-13,2,0,4,-8
0,0,-2,0,-3,0,-3,-3,7,-10,-16
0,0,-2,0,-3,0,-7,1,6,-46,-17
0,1,0,0,1,0,19,1,1,66,-7
1,0,-2,0,1,0,-36,3,-2,-8,-2
0,0,0,0,-1,0,15,2,6,48,0
0,0,-1,0,-3,0,-8,2,9,-32,-21
0,0,-2,0,0,0,-4,3,1,-43,4
0,0,-2,1,1,0,10,1,-5,43,4
1,1,0,0,1,0,-5,-1,2,12,28
0,0,0,0,1,0,-7,0,3,-21,-9
1,0,-1,1,0,0,-4,3,-3,38,24
0,0,-2,0,-2,0,-8,-3,5,-36,-9
1,1,-1,0,0,0,108,-4,6,15,5
0,0,2,1,-3,0,-310,1,11,-67,-7
1,0,2,0,-1,0,-5,1,2,28,-13
0,1,2,0,1,0,-66,1,-1,45,37
0,1,1,0,0,0,50,-5,2,-39,16
1,1,1,0,1,0,5,4,-3,9,-32
1,1,2,0,1,0,7,4,-12,97,-4
1,1,-2,0,-1,0,0,-5,-5,91,-1
1,1,0,1,0,0,-22,4,3,5,-28
1,1,0,0,1,0,-34,6,-4,16,24
1,1,2,0,1,0,2,-5,-9,48,-6
1,1,1,0,-1,0,0,-1,-2,25,46
1,1,2,0,1,0,8,1,-5,-29,16
1,1,2,-1,0,0,-3,0,-3,91,16
0,0,-2,0,0,0,117,-1,-2,-2,-7
1,1,0,0,0,0,3,-1,-2,-27,-7
1,1,2,0,2,0,-1,-1,-7,106,0
0,1,0,1,0,0,0,-2,-1,62,21
0,1,2,0,1,0,5,2,-5,54,39
1,1,2,0,2,0,-3,4,-6,71,13
1,0,0,0,-1,0,-2,2,-2,33,22
0,1,-1,1,0,0,-3,1,-2,-13,-4
0,0,-2,0,0,0,-6,-5,3,34,-8
1,1,2,1,0,0,-28,-1,0,-9,16
1,1,1,0,0,0,24,2,-4,-17,28
0,0,2,0,0,0,9,-1,2,-13,13
0,0,-2,0,0,0,200,4,0,-8,-1
0,1,1,0,1,0,15,3,-4,11,-4
1,0,1,0,-2,0,-3,-5,2,17,3
1,1,0,0,0,0,3,2,3,-27,10
1,1,-1,0,1,0,-9,3,-4,41,35
1,0,0,0,-1,0,109,-5,-2,-42,14
1,1,-1,0,0,0,4,-2,-5,73,5
1,1,0,0,-2,0,17,4,-2,-27,-18
1,1,2,0,1,0,3,2,-1,21,20
0,1,-2,1,0,0,-10,1,0,-3,-32
0,0,2,-1,-1,0,3,0,5,-31,8
0,0,1,0,-1,0,15,3,3,-36,21
0,0,1,0,0,0,5,-1,-4,-52,0
0,0,-2,0,-3,0,-4,-4,5,-36,-21
0,1,-1,0,0,0,16,-2,-1,37,-12
1,0,1,0,-1,0,-12,-4,4,1,15
0,0,-2,0,-3,0,-3,0,9,-47,-8
1,0,-2,-1,0,0,-54,-5,0,-11,-9
1,0,-2,0,0,0,2,0,-2,-58,-42
1,1,1,0,-2,0,8,4,3,-19,30
0,0,1,0,-1,0,-14,-1,1,-5,1
0,0,0,0,-4,0,1,0,5,-38,-12
0,0,-2,0,0,0,4,-3,2,-7,-21
1,1,1,0,1,0,4,5,-8,14,0
1,0,1,0,-1,0,15,0,8,-13,-6
1,0,-1,0,0,0,4,2,7,-58,16
1,1,1,0,2,0,15,-3,-13,58,11
1,0,0,0,-1,0,-6,1,3,2,-7
1,1,-1,0,0,0,0,2,2,-4,30
0,1,-2,1,0,0,7,-1,4,-31,1
0,1,2,0,-2,0,95,3,4,24,-19
0,0,-2,0,-4,0,7,0,7,-98,0
1,1,0,0,3,0,-14,1,-8,44,41
0,0,-2,0,-2,0,-45,2,2,-84,-10
1,0,-1,0,-1,0,-23,1,-3,24,2
1,0,2,1,-1,0,9,2,5,7,-8
1,0,-1,0,-1,0,-5,2,6,24,-4
1,1,0,0,-2,0,2,1,4,-11,3
1,1,-2,0,2,0,-1,1,-2,70,11
0,1,-1,1,1,0,-22,1,-7,67,-24
1,1,-2,0,1,0,6,3,4,116,-42
0,1,-1,1,-3,0,-4,0,-1,18,-5
0,1,1,0,-1,0,11,3,0,-59,23
0,0,-2,-1,-2,0,12,-2,4,-72,-23
0,1,-2,0,1,0,-9,0,1,4,9
1,0,-2,0,0,0,1,-1,-4,-4,8
1,0,0,0,1,0,272,2,-1,-6,25
1,0,0,1,1,0,103,1,-8,-19,-44
0,1,0,0,1,0,14,2,-2,57,28
0,1,0,0,-2,0,-7,-1,0,11,-1
0,0,0,0,-1,0,113,1,9,-38,-1
0,0,-2,1,1,0,1,3,0,58,-7
1,1,1,0,2,0,-4,-3,-2,40,19
0,1,0,0,0,0,23,1,-4,-15,17
0,1,-1,0,0,0,15,-3,0,11,7
1,1,0,0,0,0,-1,1,-4,29,1
0,0,-2,0,-2,0,-2,-4,7,-76,-25
1,0,-2,0,1,0,-25,-3,4,40,4
0,0,-2,0,-1,0,-15,0,4,-35,14
1,0,0,0,-1,0,2,0,5,5,-25
0,1,-2,-1,-1,0,-74,-3,0,-33,14
1,1,0,0,-1,0,-21,-1,2,-34,6
1,0,1,0,1,0,6,-2,1,-2,16
1,1,-2,0,0,0,-1,1,0,-31,-27
1,0,-2,0,-1,0,2,-4,4,-23,-44
0,0,-2,0,2,0,31,0,-8,51,-6
0,1,0,0,0,0,-2,0,4,7,7
0,0,-2,0,-2,0,-4,2,4,-49,-20
0,1,2,0,-1,0,10,0,8,-8,19
1,1,2,0,-1,0,0,1,4,-42,-4
0,1,0,0,0,0,1,0,-4,39,8
1,1,-2,0,1,0,-102,3,-11,43,8
0,1,0,0,-1,0,-36,4,-7,27,24
1,0,-2,-1,0,0,-1,-2,6,19,12
1,1,-1,0,-2,0,-18,-1,0,-6,4
1,1,-1,0,-3,0,7,0,-4,67,16
1,1,2,1,-1,0,-9,2,-4,-15,-12
1,1,-2,-1,-1,0,18,2,1,0,-9
0,1,-1,0,-1,0,1,4,0,-30,12
1,0,-2,0,-2,0,-70,-7,1,-10,-15
0,0,-2,0,-1,0,-181,-2,6,-57,10
1,1,-2,0,-1,0,9,-1,-3,54,-12
1,1,-1,0,-1,0,-14,-2,4,13,4
1,0,0,0,-1,0,-1,0,-2,-5,-15
1,1,2,-1,0,0,18,1,-2,-65,-4
1,0,-2,0,-1,0,1,1,6,-15,-1
0,0,-2,0,-1,0,63,2,6,54,-25
1,1,1,-1,0,0,-118,-6,1,-60,8
1,1,1,0,1,0,26,0,-1,-22,6
0,1,0,1,0,0,-8,1,-1,25,42
0,0,1,0,-1,0,0,4,3,-14,-24
0,0,-1,0,-1,0,25,-2,7,-24,-9
0,0,-1,-1,-1,0,-19,-4,0,-21,28
1,0,-1,0,0,0,58,2,-1,-44,-6
1,1,-1,0,-2,0,-43,0,3,-67,4
1,0,0,0,-1,0,29,8,1,30,8
1,1,0,1,1,0,2,-1,1,32,22
0,0,0,-1,-1,0,-9,-5,9,-44,-4
1,1,2,0,-1,0,-4,3,4,-17,-19
0,0,1,0,-3,0,6,2,4,-23,8
0,0,2,0,-1,0,-14,-5,4,27,8
0,0,-2,-1,-1,0,-4,0,5,27,11
1,1,0,0,0,0,13,1,2,28,-41
0,1,0,0,1,0,132,-3,0,64,14
0,1,-1,0,-2,0,-8,2,3,-14,-21
1,1,2,0,1,0,-6,-1,3,47,20
0,1,0,-1,0,0,-2,4,-6,7,12
0,0,0,0,0,0,-10,-4,1,-20,-10
1,0,-1,-1,-1,0,0,-1,5,-66,12
0,0,-2,0,-3,0,54,1,6,-65,0
0,0,0,0,-1,0,7,8,1,30,28
0,0,-1,-1,-1,0,-5,-2,7,-45,19
1,1,2,0,-1,0,0,0,-10,82,14
0,1,0,0,-1,0,-6,-4,1,-37,-25
1,1,2,0,2,0,-5,1,-8,50,-24
0,1,-2,0,-1,0,-13,-7,1,-35,-8
1,1,1,0,-1,0,17,2,1,21,-1
0,1,-1,0,1,0,-3,-2,4,20,-19
1,1,2,0,2,0,227,-1,-14,84,7
0,0,1,0,0,0,1,-1,6,-60,-17
0,0,-1,-1,-2,0,5,3,7,-109,-9
0,0,0,0,0,0,24,4,-5,21,12
1,1,1,0,0,0,-95,3,0,42,21
1,0,-1,-1,0,0,13,2,4,-16,20
0,0,-1,0,-3,0,2,-4,9,-108,-65
1,0,-2,0,-2,0,88,-3,-1,-16,-19
0,0,-1,1,-2,0,-5,0,8,-38,1
1,0,1,0,2,0,12,3,-6,-8,15
1,0,1,0,0,0,-48,6,1,-10,12
1,0,1,-1,-2,0,12,-1,4,-37,11
1,1,2,0,2,0,-8,-5,-8,-6,28
0,0,-2,0,-2,0,-3,0,3,-50,4
1,0,-1,0,-1,0,-4,3,3,-41,-8
1,1,2,0,0,0,-7,4,6,-9,6
0,1,0,0,-3,0,-16,-1,10,-17,-10
0,0,1,0,-2,0,-1,1,0,3,-70
0,0,-2,0,-1,0,-4,1,-1,-22,16
0,0,-1,0,-2,0,-4,0,6,-43,-27
1,1,0,0,-1,0,-5,0,0,8,-28
0,0,1,0,-2,0,-1,0,0,-57,7
0,0,-2,0,-2,0,9,4,4,-11,-30
0,0,-1,0,-2,0,-2,-1,6,-67,-28
0,0,-1,1,0,0,-7,0,6,-32,-8
0,1,-2,1,-2,0,10,-2,6,-68,14
1,1,2,0,-1,0,-69,-1,4,12,19
1,0,1,0,2,0,-192,3,0,42,-8
1,1,0,0,1,0,3,3,-8,104,31
1,0,-1,0,0,0,8,1,5,-48,-9
1,0,-1,0,-3,0,5,0,9,-35,-38
1,1,-1,0,0,0,1,6,1,3,12
1,1,2,1,2,0,-121,3,-7,70,11
0,0,-1,-1,-2,0,-1,-1,7,-62,5
0,0,0,0,-2,0,-5,-1,5,-90,-30
0,0,0,-1,-1,0,5,5,4,-31,-40
0,0,-2,-1,0,0,-15,-5,3,36,-11
1,1,1,0,1,0,-9,5,-7,12,17
0,0,0,-1,-2,0,-2,2,-1,0,4
1,1,-1,0,-1,0,8,3,3,-33,-8
1,1,0,0,3,0,61,7,0,15,39
1,0,-2,1,-1,0,-8,0,-2,-22,-17
1,0,-2,0,0,0,8,0,-7,-41,38
1,1,1,0,1,0,15,0,2,43,-4
1,1,-1,1,-2,0,-3,1,2,15,8
1,0,2,0,0,0,-5,-3,-1,-21,-3
1,0,-2,0,-1,0,-8,-2,6,-13,-4
1,1,2,0,1,0,7,1,0,-14,4
1,1,0,0,2,0,-8,0,-10,54,3
1,0,2,0,-1,0,-12,-1,0,4,29
0,1,-1,0,0,0,-10,-1,5,4,-47
0,0,0,-1,-1,0,-5,3,4,-21,9
1,1,-2,0,0,0,8,3,1,11,-23
0,0,-2,0,-1,0,-3,-2,7,-55,1
1,0,0,0,0,0,-24,1,4,-59,31
0,0,2,0,1,0,-433,2,0,-4,6
1,1,2,0,2,0,227,7,-5,51,2
0,1,1,-1,-1,0,-291,-3,2,-49,-2
0,1,2,0,-1,0,216,1,2,-1,-16
1,1,1,0,1,0,299,2,-8,-7,13
0,1,2,0,-3,0,247,-4,7,19,-6
