blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,blueWin,GoldDifference,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference
2,23,5,0,388,106,6,34,2,400,94,1,-5714,-2815,-5397,-12,2,0,-2,0
2,46,7,0,348,98,6,26,6,373,76,0,-1118,210,-768,-5,1,0,0,0
2,19,8,0,331,96,3,200,5,340,84,0,-2384,37,-4945,-5,-1,0,-2,0
3,28,6,1,355,84,0,23,7,378,87,0,2176,-603,3109,-2,-1,1,1,0
3,30,5,0,370,100,7,26,7,382,96,1,1720,1591,7431,4,0,1,0,0
2,24,12,0,369,80,1,33,6,357,70,0,-4357,-3550,-8553,-12,-2,-1,-3,0
3,22,7,0,331,96,3,128,7,403,96,1,-867,744,-306,6,2,0,0,0
0,30,6,1,392,104,0,23,3,359,100,1,3729,1870,30,6,1,0,0,0
2,30,6,1,403,88,2,23,6,397,88,1,869,345,6062,-4,-1,0,1,0
2,34,7,0,314,96,5,28,4,381,88,0,-586,-1124,-5197,-1,-1,1,0,0
4,28,3,1,339,94,6,33,9,357,77,1,295,-1467,7301,-1,-2,-1,1,0
5,29,6,0,314,95,8,37,2,424,104,0,-5305,-2939,-10425,-4,-2,0,-1,0
2,27,8,0,397,81,4,32,1,392,102,0,-4224,377,-771,-7,-2,0,-1,0
4,53,7,0,388,104,2,50,7,349,82,1,4877,5348,7594,6,2,0,-1,0
7,33,5,1,395,125,6,31,7,384,96,1,2116,3463,-499,1,0,1,0,0
6,61,9,0,340,69,4,66,7,370,95,0,-7743,-5640,-11490,-19,-2,0,-2,0
3,26,9,1,388,81,7,27,8,378,99,0,-3948,-3772,-8293,-9,-2,0,-1,0
1,42,4,1,315,73,3,22,5,320,100,0,262,-394,11648,6,1,0,-1,0
7,42,4,1,396,112,8,34,3,351,92,1,4129,3912,9783,4,0,1,1,0
8,35,6,1,365,92,6,29,8,356,87,0,531,421,-3739,-3,-2,0,1,0
