blueTeamTotalGold,redTeamTotalGold,blueWin
23923,29637,1
27852,28970,0
28126,30510,0
27333,25157,0
27772,26052,1
24011,28368,0
27717,28584,1
27834,24105,1
27339,26470,1
28220,28806,0
29311,29016,1
23614,28919,0
25028,29252,0
30853,25976,1
28301,26185,1
25720,33463,0
26121,30069,0
29574,29312,0
26832,22703,1
27995,27464,0
28509,30744,0
24998,26747,0
26596,28966,0
30241,31071,0
33987,24540,1
30746,26009,1
29687,20460,1
29789,27379,1
30938,24170,1
30662,23702,1
31101,27309,1
27437,29032,0
23847,31306,0
28053,23338,1
29346,27430,0
27347,28539,0
27083,35265,0
27074,30509,0
28874,26139,0
28396,25854,1
25763,28343,0
29527,28109,0
24049,31219,0
30558,29064,1
27176,28460,0
25626,31185,0
27864,26001,1
27617,27682,1
31940,27343,1
31944,23056,1
30464,30630,1
26737,26876,1
27655,22073,1
27783,23582,1
30561,29558,1
29175,25114,1
29460,26199,1
26499,26157,0
33338,26812,1
28678,22444,1
31349,23627,1
30335,23384,1
30604,22483,1
27906,25822,0
31416,27830,1
29741,29374,0
29762,25318,1
31603,24497,1
24931,26694,0
28238,28946,0
29540,27258,1
30083,24933,0
26233,27586,1
28025,24007,1
28739,30490,0
27383,26325,1
30081,27529,1
29659,26568,1
27793,27452,1
25397,27198,0
25650,28314,0
28522,28930,0
27316,32073,0
30089,28283,1
27039,25187,0
25462,32124,0
29822,30493,0
28823,25049,0
29199,30628,1
26474,26720,0
30883,33574,0
25015,27455,0
31541,28105,1
27962,30226,0
24527,29210,0
30724,23539,1
28970,30415,0
27243,26254,1
28701,30421,1
29738,30173,1
24770,31766,0
35856,21666,1
24936,30790,0
30990,32143,0
28812,25883,0
25579,27011,0
25945,31250,1
32366,27767,1
29875,28318,1
29847,25458,1
32307,23764,1
26084,26633,1
25239,29158,0
27807,26856,1
26748,28045,0
30332,25573,0
27142,25451,0
27806,24333,1
30034,29935,1
25095,29702,0
28480,25647,0
27923,24310,1
24950,26290,1
29959,25515,1
29322,28449,1
25970,32924,0
27915,26328,0
25557,28082,0
28068,30612,0
26491,24810,1
26540,29646,1
30436,26138,0
23557,24685,1
23250,29496,0
29082,24028,0
27853,29542,1
24616,29769,0
27141,28437,1
28245,26731,1
32032,25333,1
33427,24264,1
34770,28235,1
26559,26681,0
27305,30751,1
36963,25051,1
27812,25868,1
26163,25704,1
28204,27353,1
28860,29432,0
23773,26788,0
27755,25052,1
28568,27461,1
28302,28705,0
31409,27189,1
26164,28504,0
26801,28651,0
23924,23052,1
30294,26448,1
32463,24700,1
26623,29080,0
22621,29686,0
24261,30320,0
28490,26914,0
31002,27842,1
28773,28349,0
29442,23163,1
27084,28367,0
27489,28953,1
26080,29926,0
26684,28042,0
28853,29959,0
27020,26242,1
30472,25383,1
30053,30124,1
30838,26119,1
27414,26242,1
30325,30878,0
24480,31761,0
24081,33118,0
30796,28682,0
24185,28894,0
30806,25911,1
24936,28579,1
32615,28884,1
27463,28381,1
31527,26623,1
27234,29221,1
31699,23535,1
27773,30400,0
20548,29219,0
27667,25936,0
30339,25190,1
26116,25471,0
24279,33236,0
23162,29629,0
25658,32389,0
30684,27184,0
25894,25913,0
28957,34338,0
30514,28603,1
26537,31383,0
24104,24589,0
28072,28944,1
27062,30507,1
27260,30274,0
27574,29895,0
24421,34304,0
26299,28367,1
28754,32386,0
29692,32835,0
22381,29861,0
27289,29492,0
26031,30228,1
29097,25221,1
29299,26654,0
31288,22342,1
23091,28301,0
23984,31050,0
27165,26285,1
30080,25395,1
23343,31073,0
25459,29738,0
24528,28630,0
23853,29134,0
29640,24066,1
25996,31003,0
28291,24694,1
31389,27245,1
26314,26328,0
27012,26115,0
35368,28836,1
26949,28784,1
29657,29342,0
25850,30160,0
29498,27433,1
31184,23019,1
26352,28113,0
29839,28333,1
25208,28870,0
27884,27661,1
24129,31095,0
25031,25314,0
27863,24148,0
33157,27569,1
27988,29142,1
25124,26840,1
30337,25863,1
25894,28062,1
27376,29773,1
29155,24736,1
27976,29728,1
25063,31453,0
35909,23044,1
26249,29521,0
30144,25375,1
27829,30023,0
26322,29355,0
30937,25498,1
26037,25757,0
29174,25610,1
31109,27543,0
28538,24334,1
28310,27312,1
31211,27081,1
28070,25699,1
32473,24570,1
27853,28558,0
33132,25911,1
28771,27430,0
32686,23977,1
29589,26434,1
25888,29549,0
30748,25688,1
29205,28530,0
32275,25409,1
25059,31055,0
31970,24969,1
26876,32038,0
26478,29203,0
28723,24936,1
31516,24624,1
28035,31337,0
29539,27357,1
26461,28285,0
30619,27950,1
27322,24529,1
27579,26749,0
26433,30310,0
28653,26290,1
20945,34465,0
28812,24964,1
30440,26987,1
33561,28226,1
28749,29066,1
34143,26268,0
29653,24715,1
29172,28840,1
23851,32697,0
29760,23070,0
26619,27439,0
26546,30347,1
27179,28404,0
27665,25518,1
26829,25396,1
31469,27204,1
34531,26101,1
26429,25114,1
25417,29761,1
33503,23542,1
30753,23315,1
25025,27188,0
28728,29927,0
28289,27951,1
25858,30281,0
27549,30756,0
27787,28706,0
27513,26234,0
26335,30511,0
27884,26358,1
34200,25230,1
28732,26202,1
23701,31672,0
30250,28001,1
23363,26634,0
27883,28762,0
28007,26614,1
26104,29416,0
23833,27625,0
26431,26842,0
29528,26172,1
27872,29032,0
24437,27467,0
28923,26553,1
26833,33609,0
29913,29080,1
26583,31918,0
22040,30615,0
25645,25027,1
23148,33162,0
26774,27250,1
31651,26290,1
21039,27453,0
26695,25926,1
23713,24952,1
27542,27518,1
25922,27132,1
29814,25585,1
29048,30639,1
27218,30829,1
26841,27721,0
26747,27094,1
24550,27914,0
28502,31692,0
28769,24399,1
30478,29182,1
30243,26779,1
29781,29073,0
27386,23831,1
25413,28461,0
28972,25137,1
30485,25954,1
28313,27649,0
26718,27506,0
29943,25507,1
33094,30551,0
30091,23409,1
29592,25784,1
26992,27750,0
27214,32299,0
26242,25493,1
28208,25790,1
30353,29475,1
26419,29016,0
