blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamMinionsKilled,blueTeamTotalGold,blueTeamXp,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamTotalGold,redTeamXp,redTeamTotalDamageToChamps,blueWin
4,2,0,0,0,5,388,-1,0,34,16,0,0,0,400,94,1,2,-1,1
12,1,0,0,0,7,348,0,1,26,17,0,0,0,373,76,0,0,1,0
13,0,0,0,0,8,331,0,0,200,18,1,0,0,340,84,1,0,2,0
8,0,1,0,0,6,355,0,0,23,10,1,0,0,378,87,-1,1,-1,0
11,1,1,0,0,5,370,0,1,26,7,1,0,0,382,96,-1,0,-2,1
3,0,0,0,0,12,369,-1,-1,33,15,2,0,0,357,70,0,0,0,0
15,2,0,0,0,7,331,0,1,128,9,0,0,0,403,96,0,0,0,1
11,1,0,0,0,6,392,0,1,23,5,0,0,0,359,100,-1,0,-1,1
7,0,0,0,0,6,403,0,0,23,11,1,0,0,397,88,0,0,-1,1
15,0,1,0,0,7,314,0,0,28,16,1,0,0,381,88,0,1,1,0
15,0,0,0,0,3,339,1,0,33,16,2,0,0,357,77,0,1,1,1
6,0,0,0,0,6,314,-2,-1,37,10,2,0,0,424,104,0,1,0,0
7,0,0,0,0,8,397,-1,0,32,14,2,0,0,392,102,1,0,-1,0
15,2,0,0,0,7,388,1,1,50,9,0,0,0,349,82,-1,-2,-1,1
9,1,1,0,0,5,395,0,2,31,8,1,0,0,384,96,-1,0,-2,1
7,0,0,0,0,9,340,-1,-2,66,26,2,0,0,370,95,2,1,2,0
8,0,0,0,0,9,388,-1,-1,27,17,2,0,0,378,99,1,1,0,0
21,1,0,0,0,4,315,1,0,22,15,0,0,0,320,100,1,0,0,0
8,1,1,0,0,4,396,0,1,34,4,1,0,0,351,92,-2,-1,-2,1
11,0,0,0,0,6,365,0,0,29,14,2,0,0,356,87,0,0,0,0
11,0,0,0,0,10,360,0,0,27,22,2,0,0,365,86,1,2,1,0
6,2,0,0,0,8,372,-1,0,29,10,0,0,0,366,89,0,0,0,0
9,0,0,0,0,6,373,0,0,22,18,2,0,0,345,92,0,0,0,0
13,0,0,0,0,7,383,1,1,100,22,1,0,0,337,96,1,0,3,0
25,0,0,0,0,5,395,2,2,21,8,0,0,0,329,76,-1,-1,-2,1
16,2,0,0,0,5,385,1,1,29,9,0,0,0,343,94,-1,0,1,1
18,2,1,0,0,5,391,1,1,41,0,0,0,0,328,96,-3,-2,-2,1
19,0,0,0,0,5,359,1,1,154,16,2,0,0,301,75,0,0,1,1
22,1,1,0,0,6,332,1,1,200,8,0,0,0,293,79,-1,-2,0,1
12,0,0,0,0,3,413,1,1,44,7,1,0,0,302,80,-2,-2,-2,1
19,2,0,0,0,7,344,1,0,43,11,0,0,0,340,82,0,-1,-1,1
16,0,0,0,0,12,331,0,0,30,11,2,0,0,341,97,0,0,0,0
6,0,0,0,0,10,344,-1,-1,38,17,2,0,0,390,96,1,0,0,0
12,1,0,0,0,4,411,0,1,27,5,1,0,0,345,87,-2,-1,-1,1
15,0,0,0,0,6,355,1,0,67,13,2,0,0,363,85,0,0,0,0
12,1,0,0,0,10,348,0,0,22,17,1,0,0,300,90,0,0,1,0
14,0,0,0,0,13,329,0,-1,34,27,1,0,0,361,85,3,1,2,0
14,0,0,0,0,9,306,0,-2,30,19,2,0,0,349,80,1,0,1,0
11,0,1,0,0,2,392,0,0,26,11,2,0,0,349,98,-1,-1,-1,0
10,1,0,0,0,7,367,0,1,29,12,1,0,0,355,92,-1,1,1,1
10,1,0,0,0,6,332,-1,-1,31,16,1,0,0,353,93,0,1,0,0
17,0,1,0,0,2,342,1,-1,26,16,1,0,0,304,76,0,-1,0,0
8,0,0,0,0,6,355,-1,0,35,20,2,0,0,391,98,1,2,1,0
22,0,0,0,0,9,349,1,1,31,17,1,0,0,334,90,0,0,0,1
16,2,1,0,0,14,282,0,0,200,11,0,0,0,349,94,0,0,1,0
9,2,0,0,0,7,361,-1,-1,30,23,0,0,0,333,94,1,1,1,0
14,2,0,0,0,5,366,0,1,91,12,0,0,0,321,62,-1,0,1,1
14,1,0,0,0,5,320,0,0,28,16,0,0,0,359,74,0,0,0,1
18,1,0,0,0,5,354,1,1,26,11,0,0,0,345,114,0,-1,-1,1
16,2,0,0,0,1,425,2,3,21,8,0,0,0,328,102,-2,-1,-2,1
14,0,0,0,0,8,393,1,0,28,18,2,0,0,302,74,1,0,2,1
12,1,1,0,0,6,389,0,1,49,10,1,0,0,384,106,0,0,-1,1
14,1,0,0,0,4,348,0,0,59,3,1,0,0,332,66,-2,-2,-1,1
12,2,0,0,0,0,346,0,-1,26,7,0,0,0,298,93,-2,-1,0,1
18,1,0,0,0,5,359,1,-1,31,19,0,0,0,334,46,1,-1,2,1
16,2,0,0,0,6,317,0,0,24,8,0,0,0,346,82,-1,-2,0,1
14,2,0,0,0,5,402,1,1,32,10,0,0,0,311,84,-1,-1,-1,1
8,0,0,0,0,7,377,0,0,28,9,2,0,0,379,101,-1,0,-1,0
24,1,0,0,0,6,345,2,1,25,11,1,0,0,372,83,0,0,0,1
12,2,0,0,0,2,405,0,1,25,5,0,0,0,299,96,-2,-1,-1,1
14,1,1,0,0,5,419,1,3,22,7,1,0,0,357,94,-2,0,-1,1
16,2,0,0,0,3,405,1,2,27,5,0,0,0,351,80,-2,-1,-1,1
16,2,0,0,0,3,418,1,2,39,4,0,0,0,347,81,-2,-1,-2,1
15,1,0,0,0,5,343,0,0,28,10,1,0,0,310,79,-1,0,-1,0
17,0,1,0,0,6,342,1,0,25,9,1,0,0,355,92,0,-1,-1,1
15,0,0,0,0,8,385,1,0,32,16,2,0,0,351,89,1,0,0,0
16,2,1,0,0,4,375,1,2,46,7,0,0,0,384,88,-1,1,-1,1
