blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,blueTeamXp,blueTeamTotalDamageToChamps,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamHeraldKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamXp,redTeamTotalDamageToChamps,blueWin
2,23,4,2,0,0,0,5,0,388,106,0,-2,6,34,16,0,0,0,0,2,400,94,2,-1,1
2,46,12,1,0,0,0,7,0,348,98,1,1,6,26,17,0,0,0,0,6,373,76,0,1,0
2,19,13,0,0,0,0,8,0,331,96,0,1,3,200,18,1,0,0,0,5,340,84,0,2,0
3,28,8,0,1,0,0,6,1,355,84,0,0,0,23,10,1,0,0,0,7,378,87,1,-1,0
3,30,11,1,1,0,0,5,0,370,100,1,-1,7,26,7,1,0,0,0,7,382,96,0,-2,1
2,24,3,0,0,0,0,12,0,369,80,-1,-2,1,33,15,2,1,0,0,6,357,70,0,0,0
3,22,15,2,0,0,0,7,0,331,96,1,0,3,128,9,0,0,0,0,7,403,96,0,0,1
0,30,11,1,0,0,0,6,1,392,104,1,-1,0,23,5,0,0,0,0,3,359,100,0,-1,1
2,30,7,0,0,0,0,6,1,403,88,0,0,2,23,11,1,0,0,0,6,397,88,0,-1,1
2,34,15,0,1,0,0,7,0,314,96,0,0,5,28,16,1,0,0,0,4,381,88,1,1,0
4,28,15,0,0,0,0,3,1,339,94,0,2,6,33,16,2,1,0,0,9,357,77,1,1,1
5,29,6,0,0,0,0,6,0,314,95,-1,-2,8,37,10,2,0,0,0,2,424,104,1,0,0
2,27,7,0,0,0,0,8,0,397,81,0,-1,4,32,14,2,0,0,0,1,392,102,0,-1,0
4,53,15,2,0,0,0,7,0,388,104,1,0,2,50,9,0,0,0,0,7,349,82,-2,-1,1
7,33,9,1,1,0,0,5,1,395,125,2,-2,6,31,8,1,0,0,0,7,384,96,0,-2,1
6,61,7,0,0,0,0,9,0,340,69,-2,0,4,66,26,2,0,0,0,7,370,95,1,2,0
3,26,8,0,0,0,0,9,1,388,81,-1,-1,7,27,17,2,0,0,0,8,378,99,1,0,0
1,42,21,1,0,0,0,4,1,315,73,0,2,3,22,15,0,0,0,0,5,320,100,0,0,0
